user_id,min(time_stamp)
218545449,2014-11-21
218565183,2014-10-14
218567207,2014-10-17
218581881,2013-12-10
218583905,2014-10-15
218584411,2013-10-18
218586435,2014-12-12
218590483,2014-12-09
218590989,2013-12-30
218600097,2014-10-28
218610723,2014-10-10
218641083,2013-11-18
218646649,2013-12-03
218649179,2013-10-25
218661829,2014-12-30
218670937,2013-11-04
218673973,2014-12-03
218674479,2014-10-14
218676503,2014-11-12
218681057,2013-10-11
218751391,2013-10-22
218758475,2014-11-26
218762523,2014-10-01
218764041,2013-12-04
218769607,2014-10-22
218770113,2014-12-12
218773149,2014-11-18
218786305,2014-10-24
218786811,2013-10-03
218817677,2013-11-06
218831339,2013-10-08
218831845,2013-11-01
218832857,2014-10-09
218833363,2013-12-13
218835387,2014-12-08
218837917,2013-11-15
218848543,2013-10-18
218862205,2013-10-21
218867771,2013-12-04
218873337,2014-12-13
218874349,2013-11-12
218882445,2013-10-09
218891047,2014-10-02
218892059,2014-11-24
218892565,2013-10-21
218896107,2013-10-28
218905215,2013-11-26
218913817,2014-10-28
218918371,2014-10-23
218925961,2013-12-11
218949237,2013-10-30
218949743,2013-11-06
218950755,2013-11-13
218952273,2013-11-14
218953285,2013-10-14
218960875,2014-10-06
218964923,2013-10-04
218973019,2013-10-09
218975549,2013-10-01
218990223,2013-11-01
218996801,2013-11-25
219002873,2013-11-29
219012993,2013-11-18
219016029,2014-10-20
219019571,2013-10-09
219026149,2014-12-04
219032221,2013-12-20
219032727,2013-11-04
219035257,2014-10-02
219036269,2013-10-11
219055497,2014-10-07
219059545,2013-11-05
219066629,2013-10-25
219070677,2013-10-11
219071183,2013-11-14
219072195,2013-12-02
219076749,2013-11-01
219079279,2013-10-09
219088387,2013-11-08
219091929,2013-12-30
219100531,2013-10-28
219101037,2014-10-17
219105085,2013-11-25
219106603,2013-10-25
219107615,2013-11-19
219108121,2013-10-23
219122289,2013-11-13
219126843,2014-10-30
219141011,2014-11-21
219148601,2014-10-22
219164287,2013-12-03
219177443,2014-10-22
219178961,2014-10-23
219186551,2014-10-07
219191611,2013-11-11
219192117,2014-10-01
219202237,2013-11-25
219207803,2014-10-06
219211345,2013-11-11
219247271,2014-11-18
219250307,2013-11-14
219258909,2014-12-16
219259415,2013-10-22
219266499,2014-10-14
219279655,2013-11-12
219283703,2013-10-04
219284715,2013-10-01
219296353,2013-12-30
219299895,2014-10-23
219300401,2014-11-21
219305967,2013-10-23
219310015,2013-10-24
219311533,2013-11-15
219315075,2013-12-19
219326713,2013-10-22
219327219,2013-11-08
219332279,2013-10-18
219342399,2013-12-06
219343411,2014-10-14
219348471,2014-11-12
219348977,2013-10-24
219356061,2013-10-29
219361121,2013-10-29
219367699,2013-12-06
219371241,2013-10-18
219378325,2013-12-16
219394517,2013-11-07
219396541,2014-10-06
